source_id,title,plot
wiki-00037,The Black Arrow: A Tale of the Two Roses,"The novel is set in the reign of ""old King Henry VI"" (1422–1461, 1470–1471) and during the Wars of the Roses (1455–1487). The story begins with the Tunstall Moat House alarm bell, rung to summon recruits for its absent lord Sir Daniel Brackley, to join the Battle of Risingham; at which the outlaw ""fellowship"" known as ""the Black Arrow"" begins to strike with its ""four black arrows"" for the ""four black hearts"" of Brackley and three of his retainers: Nicholas Appleyard, Bennet Hatch, and Sir Oliver Oates, the parson. The rhyme posted in explanation of this attack, makes the protagonist Richard ('Dick') Shelton, ward of Sir Daniel, curious about the death of his father Sir Harry Shelton. Having been dispatched to Kettley, where Sir Daniel was quartered, and sent to Tunstall Moat House by return dispatch, he falls in with a fugitive, Joanna Sedley, disguised as a boy with the alias of John Matcham: an heiress kidnapped by Sir Daniel to obtain guardianship over her and to retain his control over Richard by marrying her to him. As they travel through Tunstall Forest, Joanna tries to persuade Dick to turn against Sir Daniel in sympathy with the Black Arrow outlaws, whose camp they discover near the ruins of Grimstone manor. The next day they are met in the forest by Sir Daniel himself, disguised as a leper and returning to the Moat House after his side was defeated at Risingham. Dick and Joanna then follow Sir Daniel to the Moat House. Here Dick confirms that Sir Daniel is the murderer of his father, and escapes injured from the Moat House. He is rescued by the outlaws of the Black Arrow. The second half of the novel, Books 3–5, tells how Dick rescues Joanna from Sir Daniel with the help of both the Black Arrow fellowship and the Yorkist army led by Richard Crookback, the future Richard III of England. It centres on Shoreby, where the Lancastrian forces are entrenched. Robert Louis Stevenson inserts seafaring adventure in chapters 4–6 of Book 3, wherein Dick and the outlaws steal a ship and attempt a seaside rescue of Joanna. They are unsuccessful, and after Joanna is moved to Sir Daniel's main quarters in Shoreby, Dick visits her in the guise of a Franciscan friar. Stevenson, the populariser of the tales of the Arabian nights, has Dick tell the tale of Ali Baba and the Forty Thieves in Book 4, chapter 6 to help him escape from the ruined sea captain Arblaster, whose ship Dick and the outlaws had stolen. While shadowing Sir Daniel, Dick and the outlaws encounter another group of spies interested in Joanna. After a skirmish in which the outlaws prevail, Dick finds that he has conquered Joanna's lawful guardian, Lord Foxham, who promises to give Joanna to Dick in marriage after a contemplated seaside rescue. There is irony in Foxham scolding Dick, who is nobly born, for consorting with outlaws when the outlaws are recruited in Dick and Foxham's plans to rescue Joanna. Wounded in the failed seaside rescue, Foxham writes letters of recommendation for Dick to Richard Crookback, whom Dick must find on the outskirts of Shoreby. Richard Crookback, Duke of Gloucester, makes his appearance in Book 5. As Dick is leaving Shoreby he sees Crookback holding his own against seven or eight Lancastrian assailants, and assists his victory. Dick's accurate knowledge of the Lancastrian forces in Shoreby aid Crookback in winning the battle that he wages later that day. Dick is also successful as one of Crookback's commanders. Crookback knights Dick on the field of battle and, following their victory, gives him fifty horsemen to pursue Sir Daniel, who has escaped Shoreby with Joanna. Dick succeeds in rescuing Joanna, but loses his men in the process. He, Joanna, and Alicia Risingham travel to Holywood where he and Joanna are married. In this way he keeps his initial pledge to Joanna to convey her safely to Holywood. In the early morning of his wedding day Dick encounters a fugitive Sir Daniel trying to enter Holywood seaport to escape to France or Burgundy. Because it is his wedding day, Dick does not want to soil his hands with Sir Daniel's blood, so he simply bars his way by challenging him either to hand-to-hand combat or alerting a Yorkist perimeter patrol. Sir Daniel retreats, but is shot by Ellis Duckworth (the outlaws' captain) with the last black arrow. Thereafter Sir Richard and Lady Shelton live in Tunstall Moat House untroubled by the rest of the Wars of the Roses. They provide for both Captain Arblaster and the outlaw Will Lawless by pensioning them and settling them in Tunstall hamlet, where Lawless does a volte face by returning to the Franciscan order, taking the name, Brother Honestus."
wiki-00141,Hulda from Holland,"Upon the death of her parents, little Hulda find herself sole guardian of her three small brothers. Fortunately, she receives a letter from her wealthy Uncle Peter in Pennsylvania inviting the three orphans to come to America and live with him. Shortly afterwards, Uncle Peter drives to the Port of New York to pick them up, but is injured by an automobile accident and taken to a hospital where he lies unidentified. Uncle Peter's disappearance not only causes distress to the three newly arrived Dutch immigrants, but also to a railroad president (Mr. Walton) who is trying to buy the right-of-way through Uncle Peter's farmland and has only three deals left in which to close the deal. The search for the old man by both Hulda and Mr. Walton's son result in a blossoming romance between the two."
wiki-00212,The Goddess of Lost Lake,"The story is about a young woman who is a quarter Native American Indian, Mary Thorne (Glaum), who returns to the home of her prospector father, Marshall Thorne (Dowling), after completing her education in the East. She has a college degree and an air of refinement. While her father is away hunting for gold at Lost Lake, Mary enjoys the freedom of his mountain cabin. When two hunters on a hunting expedition, Mark Hamilton (Butt) and Chester Martin (Mack), show up and visit the cabin she decides to put on Indian clothing and pretend she is a full-blooded Indian princess for fun. Both men are attracted to the Indian maiden and Hamilton falls deeply in love with her. Martin, however, is contemptuous of her Indian background. When Mary hears him making derisive remarks about the Indian race, she returns to her father's cabin. Martin follows her home, enters her bedroom, and attacks her. Hamilton comes to her rescue and prevents Martin from raping her. He then looks around the room and sees the modern decor. Realizing that Mary is a young woman of culture and education, he becomes angry because she fooled him and leaves. Meanwhile, while Mary's father is searching for gold, which legend has it is at the bottom of Lost Lake, a legend that also says a white man who once stole some of the gold killed an Indian prince and a white man's blood must fall before anymore gold can be taken, he is killed by an Indian guard at Lost Lake. Mary inherits the gold that her father discovered. Hamilton, who cannot forget her, comes back and they are married."
wiki-00428,The Electric House,Keaton plays a botany student who is accidentally awarded an electrical engineering degree. He then attempts to wire a home using many gadgets. The man to whom the degree should have been awarded then exacts revenge by rewiring those gadgets to cause mayhem.
wiki-00474,The Silent Command,"Benadict Hisston is a foreign agent, part of a conspiracy to destroy the Panama Canal and the United States Navy's Atlantic Fleet. He attempts to acquire information about mine placement in the Canal Zone from Captain Richard Decatur, but fails. With that information essential to the conspiracy's success, he then hires vamp Peg Williams to obtain the intelligence through seduction. Decatur is not fooled, and obeys the ""silent command"" of the Chief of Naval Intelligence to play along with the spies without revealing his purpose to friends or family. He is court-martialed, stripped of rank, and dismissed from the Navy after he strikes an admiral. His association with Williams estranges him from his wife, but earns him the trust of Hisston and the other spies. When the conspirators are ready to enact their plan, he travels to Panama with them. He thwarts their attempt at sabotage, saving the canal and the fleet. He is reinstated into the Navy, reunited with his wife, and honored by the nation for his heroism.[1][2]"
wiki-00515,The Thief of Bagdad,"Ahmed robs as he pleases in the city of Baghdad. Wandering into a mosque, he tells the holy man he disdains his religion; his philosophy is, ""What I want, I take."" That night, he sneaks into the palace of the caliph using a magic rope he stole during ritual prayers. All thoughts of plunder are forgotten when he sees the sleeping princess, the caliph's daughter. The princess's Mongol slave discovers him and alerts the guards, but he gets away. When his associate Abu reminds the disconsolate Ahmed that a bygone thief once stole another princess during the reign of Haroun al-Rashid, Ahmed sets out to do the same. The next day is the princess's birthday. Three princes arrive, seeking her hand in marriage (and the future inheritance of the city). Another of the princess's slaves foretells that she will marry he who first touches a rose-tree in her garden. The princess watches anxiously as first the glowering Prince of the Indies, then the obese Prince of Persia (an uncredited Mathilde Comont), and finally the Prince of the Mongols pass by the rose-tree. The mere sight of the Mongol fills the princess with fear, but when Ahmed appears (disguised in stolen garments as a suitor), she is delighted. The Mongol slave tells her countryman of the prophecy, but before he can touch the rose-tree, Ahmed's startled horse tosses its rider into it. That night, following ancient custom, the princess chooses Ahmed for her husband. Out of love, Ahmed gives up his plan to abduct her and confesses all to her in private. The Mongol prince learns from his spy, the princess's Mongol slave, that Ahmed is a common thief and informs the caliph. Ahmed is lashed mercilessly, and the caliph orders he be torn apart by a giant ape, but the princess has the guards bribed to let him go. When the caliph insists she select another husband, her loyal slave advises her to delay. She asks that the princes each bring her a gift after ""seven moons""; she will marry the one who brings her the rarest. In despair, Ahmed turns to the holy man. He tells the thief to become a prince, revealing to him the peril-fraught path to a great treasure. The Prince of the Indies obtains a magic crystal ball from the eye of a giant idol, which shows whatever he wants to see, while the Persian prince buys a flying carpet. The Mongol prince leaves behind his henchman, telling him to organize the soldiers he will send to Bagdad disguised as porters. (The potentate has sought all along to take the city; the beautiful princess is only an added incentive.) After he lays his hands on a magic apple which has the power to cure anything, even death, he sends word to the Mongol slave to poison the princess. After many adventures, Ahmed gains a cloak of invisibility and a small chest of magic powder which turns into whatever he wishes when he sprinkles it. He races back to the city. The three princes meet as agreed at a caravansary before returning to Bagdad. The Mongol asks the Indian to check whether the princess has waited for them. They discover that she is near death, and ride the flying carpet to reach her. Then the Mongol uses the apple to cure her. The suitors argue over which gift is rarest, but the princess points out that without any one gift, the remaining two would have been useless in saving her life. Her loyal slave shows her Ahmed in the crystal ball, so the princess convinces her father to deliberate carefully on his future son-in-law. The Mongol prince chooses not to wait, unleashing his secret army that night and capturing Bagdad. Ahmed arrives at the city gate, shut and manned by Mongols. When he conjures up a large army with his powder, the Mongol soldiers flee. The Mongol prince is about to have one of his men kill him when the Mongol slave suggests he escape with the princess on the flying carpet. Ahmed liberates the city and rescues the princess, using his cloak of invisibility to get through the Mongols guarding their prince. In gratitude, the caliph gives his daughter to him in marriage."
wiki-00614,So's Your Old Man,"Sam Bisbee (W.C. Fields) is a small-town glazier who's always trying to get rich quick, and his schemes are driving his wife (Marcia Harris) crazy. When he invents an unbreakable glass windshield, his attempt to demonstrate it at a convention of automobile manufacturers is ruined when his car gets switched with another, and instead of bouncing off, the brick he throws at it smashes the windshield to pieces. On the train ride home, Bisbee considers suicide, but instead rescues a pretty young woman (Alice Joyce) who he believe is trying to kill herself. It turns out the woman is really Princess Lescaboura, and their friendship brings social success to the Bisbees.[3][4][5]"
wiki-00756,Acquitted,"Marian is sent to prison for a crime she did not commit. While there she meets fellow convict, Dr. Bradford, who has also been wrongly convicted of a murder. Marion believes his innocence and falls in love with him. Bradford tells her that it was Egan who framed him. Meanwhile, Egan has fallen in love with Marian, and when Marian is paroled, begins to woo her. She goes along with his romances, hoping to get the info she needs to free Bradford. However, Egan is warned of her intentions by associates who are still in the jail. When Egan confronts Marian, she admits her plan, but tells Egan of her love for Bradford. Egan, pretending to help Marian out, agrees to get Bradford released, and pays one of his henchmen, Smith, to confess to the crime for which Bradford is in prison for. Once Bradford is released, Egan attempts to leverage his role in that release, to force Marian to marry him. When she refuses, he has Bradford kidnapped, intending to have him killed. Learning of it, an armed Marian confronts Egan, and when he refuses to divulge Bradford's whereabouts, she shoots him. Grievously wounded, Egan needs immediate medical attention. Regretting her action, she pleads with Egan to tell him where Bradford is, so that he can tend to the wound. Once Egan tells her where he has Bradford stashed, Marian rushes to free him, returning to Egan, where Bradford tends to the gunshot wound. The woman and doctor are followed by the police, who overhear Egan confessing to the murder for which Bradford was originally convicted. The wound patched, Egan is taken to jail, while Bradford and Marian end up together."
wiki-00971,Midnight Mystery,"Gregory Sloane is a millionaire who lives in an isolated mansion on Hawk Island, off the coast of New England. He invites a disparate group of people to his home, who are soon cut off from the mainland when a fierce storm blows in. While confined, tensions erupt among the guests, leading to the murder of Mischa Kawelin. One of the other guests, Sally Wayne, an author who writes murder mysteries and Sloane's fiancée, takes it upon herself to solve the crime. Over the course of the evening, she uncovers and strategically puts together all the clues, culminating in her getting the murderer to confess."
wiki-01280,The Conquerors,"The film begins in a prospering New York in 1873. Lowly bank clerk Roger Standish is fired from his job after he is caught courting Caroline Ogden, the daughter of the bank’s president. The failure of Ogden’s bank in the Panic of 1873 brings about her father’s collapse and death. Undismayed, Caroline offers to marry Roger and proposes that they travel west in search of new opportunities. While traveling through Nebraska on a raft Roger is shot during the course of a robbery by a gang. Taken to the nearby town of Fort Allen, he is operated on successfully by the town's doctor, Dan L. Blake, who though a drunkard proves competent. As Roger recovers, Caroline is inspired by the town’s generosity to them to open a bank there. With the help of Blake and his wife, Standish Bank is an instant success, and Caroline soon gives birth to twins, a boy and a girl. As Fort Allen prospers, the possibility of being bypassed by the railroad threatens its growth. Roger and Caroline succeed in convincing the railroad's president to include Fort Allen on the route, by the arrival of the first train is marred by the death of their son after an inebriated Doc Blake crashes the carriage in which they were riding at a crossing right in the train’s path. Though they mourn their loss, Roger and Caroline’s daughter grows into a beautiful young woman, who marries Warren Lennox, one of the employees in Standish's bank. The prosperous times come to an end with the depression of the 1890s. Overextended because of poor judgement by Roger’s son-in-law, the Standish National Bank is forced to close because of a run on its deposits. Lennox commits suicide just as Roger’s grandchild, Roger Standish Lennox, is born. The young boy grows up in a world of technological marvels, and after America’s entry into World War I becomes a decorated fighter pilot. While watching him in a victory parade after the Armistice, however, Caroline dies. The decade that follows is one of great growth. The Standish National Bank, having survived the hard times of the 1890s, is thriving once again under Lennox’s management. When the stock market crash of 1929 brings the good times to an end, however, Lennox approaches the now-elderly Standish to sign papers dissolving his multimillion-dollar trust fund so that Lennox can put the money into the bank. As Standish signs the papers, Lennox expresses his optimism that the country would recover and reach new heights, filling his grandfather with pride at both Lennox’s responsibility and his faith in America’s future."
